   id, time,  addr, rssi,  ave, lane
  413, 2879, 65:02,  -94,  -96,    7
  414,  481, 65:02,  -95,  -94,    7
  415,  484, 65:02, -102,  -98,    7
  416,  480, 65:02,  -95,  -98,    7
  417, 3104, xx:xx, -120, -107,    7
  418,  253, 65:02, -100, -110,    7
  419,  483, 65:02,  -92,  -96,    7
  420,  479, 65:02,  -92,  -92,    7
  421, 1921, 65:02, -100,  -96,    7
  422,  480, 65:02,  -99,  -99,    7
  423,  477, 65:02,  -91,  -95,    7
  424, 1917, 65:02,  -84,  -87,    7
  425,  959, 65:02,  -93,  -88,    7
  426,  485, 65:02,  -98,  -95,    7
  427, 3107, xx:xx, -120, -109,    7
  428,  728, 65:02,  -97, -108,    7
  429,  966, 65:02,  -92,  -94,    7
  430,  477, 65:02,  -97,  -94,    7
  431,  990, 65:02,  -98,  -97,    7
  432, 2848, 65:02,  -96,  -97,    7
  433, 1921, 65:02,  -97,  -96,    7
  434, 1440, 65:02,  -96,  -96,    7
  435, 3114, xx:xx, -120, -108,    7
  436, 3118, xx:xx, -120, -120,    7
  437, 3107, xx:xx, -120, -120,    7
  438, 3110, xx:xx, -120, -120,    7
  439, 3108, xx:xx, -120, -120,    7
  440, 2686, 65:02,  -98, -109,    7
  441, 3107, xx:xx, -120, -109,    7
  442,  254, 65:02,  -98, -109,    7
  443, 2906, 65:02,  -99,  -98,    7
  444,  450, 65:02, -100,  -99,    7
  445, 3089, xx:xx, -120, -110,    7
  446, 1236, 65:02,  -97, -108,    7
  447, 2878, 65:02,  -87,  -92,    7
  448,  478, 65:02,  -96,  -91,    7
  449, 1924, 65:02, -101,  -98,    7
  450,  961, 65:02, -100, -100,    7
  451,  487, 65:02,  -93,  -96,    7
  452,  977, 65:02,  -92,  -92,    7
  453,  453, 65:02,  -97,  -94,    7
  454,  478, 65:02,  -94,  -95,    7
  455, 1925, 65:02,  -95,  -94,    7
  456,  476, 65:02,  -89,  -92,    7
  457, 2882, 65:02,  -90,  -89,    7
  458, 1918, 65:02,  -96,  -93,    7
  459,  479, 65:02,  -95,  -95,    7
  460,  486, 65:02,  -92,  -93,    7
  461, 3091, xx:xx, -120, -106,    7
  462, 1703, 65:02,  -91, -105,    7
  463, 3091, xx:xx, -120, -105,    7
  464, 3093, xx:xx, -120, -120,    7
  465, 2939, 65:02,  -97, -108,    7
  466, 3118, xx:xx, -120, -108,    8
  467, 1685, 65:02, -101, -110,    8
  468, 3141, xx:xx, -120, -110,    8
  469, 3089, xx:xx, -120, -120,    8
  470, 2412, 65:02,  -99, -109,    8
  471,  967, 65:02, -100,  -99,    8
  472, 3092, xx:xx, -120, -110,    8
  473,  258, 65:02,  -95, -107,    8
  474, 2881, 65:02,  -97,  -96,    8
  475, 3108, xx:xx, -120, -108,    8
  476,  732, 65:02, -100, -110,    8
  477,  972, 65:02,  -91,  -95,    8
  478,  955, 65:02,  -98,  -94,    8
  479, 1436, 65:02,  -96,  -97,    8
  480,  474, 65:02,  -90,  -93,    8
  481,  500, 65:02,  -91,  -90,    8
  482, 1430, 65:02,  -97,  -94,    8
  483,  952, 65:02,  -97,  -97,    8
  484,  484, 65:02,  -92,  -94,    8
  485,  957, 65:02,  -98,  -95,    8
  486,  475, 65:02,  -95,  -96,    8
  487, 2882, 65:02,  -91,  -93,    8
  488,  483, 65:02,  -90,  -90,    8
  489,  483, 65:02,  -95,  -92,    8
  490, 1439, 65:02,  -90,  -92,    8
  491, 2875, 65:02,  -98,  -94,    8
  492,  484, 65:02,  -95,  -96,    8
  493,  491, 65:02,  -95,  -95,    8
  494, 2390, 65:02,  -92,  -93,    8
  495, 1452, 65:02,  -95,  -93,    8
  496,  466, 65:02, -100,  -97,    8
  497,  484, 65:02,  -95,  -97,    8
  498, 1911, 65:02, -103,  -99,    8
  499,  964, 65:02,  -94,  -98,    8
  500, 3112, xx:xx, -120, -107,    8
  501,  255, 65:02,  -94, -107,    8
  502, 2889, 65:02,  -95,  -94,    8
  503, 1428, 65:02,  -93,  -94,    8
  504, 3111, xx:xx, -120, -106,    8
  505,  245, 65:02,  -97, -108,    8
  506, 3109, xx:xx, -120, -108,    8
  507, 3099, xx:xx, -120, -120,    8
  508, 3101, xx:xx, -120, -120,    8
  509,  286, 65:02,  -98, -109,    8
  510, 3159, xx:xx, -120, -109,    8
  511,  689, 65:02, -102, -111,    8
  512, 3104, xx:xx, -120, -111,    8
  513, 3102, xx:xx, -120, -120,    8
  514, 3102, xx:xx, -120, -120,    8
  515,  766, 65:02,  -97, -108,    8
  516,  512, 65:02,  -93,  -95,    8
  517,  453, 65:02, -101,  -97,    8
  518, 2401, 65:02, -101, -101,    8
  519,  474, 65:02,  -95,  -98,    8
  520,  969, 65:02,  -99,  -97,    8
  521,  477, 65:02,  -88,  -93,    8
  522,  960, 65:02,  -97,  -92,    8
  523, 1922, 65:02,  -91,  -94,    8
  524,  471, 65:02,  -91,  -91,    8
  525,  485, 65:02,  -92,  -91,    8
  526, 2908, 65:02,  -99,  -95,    8
  527, 1411, 65:02,  -96,  -97,    8
  528,  964, 65:02,  -94,  -95,    8
  529,  477, 65:02,  -95,  -94,    8
  530,  965, 65:02, -100,  -97,    8
  531, 1439, 65:02,  -93,  -96,    8
  532,  952, 65:02,  -98,  -95,    8
  533, 2910, 65:02,  -96,  -97,    8
  534,  934, 65:02,  -94,  -95,    8
  535, 3109, xx:xx, -120, -107,    8
  536,  253, 65:02,  -96, -108,    9
  537, 3244, xx:xx, -120, -108,    9
  538,  596, 65:02,  -97, -108,    9
  539, 3107, xx:xx, -120, -108,    9
  540, 1703, 65:02,  -98, -109,    9
  541, 3107, xx:xx, -120, -109,    9
  542, 3106, xx:xx, -120, -120,    9
  543, 3105, xx:xx, -120, -120,    9
  544, 3107, xx:xx, -120, -120,    9
  545, 2458, 65:02,  -97, -108,    9
  546, 3107, xx:xx, -120, -108,    9
  547, 3120, 65:02,  -94, -107,    9
  548, 1442, 65:02,  -93,  -93,    9
  549,  475, 65:02,  -95,  -94,    9
  550,  484, 65:02,  -95,  -95,    9
  551,  479, 65:02,  -95,  -95,    9
  552,  478, 65:02,  -99,  -97,    9
  553,  474, 65:02,  -97,  -98,    9
  554, 2422, 65:02,  -89,  -93,    9
  555, 2881, 65:02,  -96,  -92,    9
  556,  461, 65:02,  -90,  -93,    9
  557, 1923, 65:02,  -98,  -94,    9
  558, 1917, 65:02,  -98,  -98,    9
  559, 2400, 65:02,  -96,  -97,    9
  560,  481, 65:02,  -95,  -95,    9
  561, 1920, 65:02,  -90,  -92,    9
  562, 1442, 65:02,  -97,  -93,    9
  563,  957, 65:02, -104, -100,    9
  564, 2891, 65:02,  -98, -101,    9
  565, 2389, 65:02,  -91,  -94,    9
  566,  959, 65:02, -101,  -96,    9
  567,  478, 65:02,  -99, -100,    9
  568, 3092, xx:xx, -120, -109,    9
  569, 3097, xx:xx, -120, -120,    9
  570, 1021, 65:02,  -96, -108,    9
  571, 3094, xx:xx, -120, -108,    9
  572, 3092, xx:xx, -120, -120,    9
  573, 2453, 65:02, -100, -110,    9
  574,  955, 65:02, -104, -102,    9
  575, 3094, xx:xx, -120, -112,    9
  576, 3094, xx:xx, -120, -120,    9
  577, 2466, 65:02, -102, -111,    9
  578, 1430, 65:02,  -99, -100,    9
  579,  958, 65:02,  -92,  -95,    9
  580,  484, 65:02,  -96,  -94,    9
  581,  962, 65:02,  -99,  -97,    9
  582, 1430, 65:02,  -99,  -99,    9
  583,  479, 65:02,  -96,  -97,    9
  584,  484, 65:02,  -93,  -94,    9
  585, 1439, 65:02,  -94,  -93,    9
  586, 1436, 65:02,  -98,  -96,    9
  587,  967, 65:02,  -89,  -93,    9
  588,  472, 65:02,  -95,  -92,    9
  589,  973, 65:02,  -99,  -97,    9
  590, 1912, 65:02,  -90,  -94,    9
  591,  482, 65:02,  -88,  -89,    9
  592,  475, 65:02,  -93,  -90,    9
  593, 2884, 65:02,  -91,  -92,    9
  594, 2904, 65:02,  -88,  -89,    9
  595,  941, 65:02,  -96,  -92,    9
  596,  959, 65:02,  -99,  -97,    9
  597,  471, 65:02,  -95,  -97,    9
  598,  971, 65:02,  -89,  -92,   10
  599,  471, 65:02,  -98,  -93,   10
  600, 2424, 65:02, -100,  -99,   10
  601,  463, 65:02,  -97,  -98,   10
  602, 1434, 65:02, -100,  -98,   10
  603, 3096, xx:xx, -120, -110,   10
  604, 3096, xx:xx, -120, -120,   10
  605,  532, 65:02,  -98, -109,   10
  606, 3100, xx:xx, -120, -109,   10
  607,  260, 65:02,  -96, -108,   10
  608, 3147, xx:xx, -120, -108,   10
  609, 2621, 65:02,  -98, -109,   10
  610, 3097, xx:xx, -120, -109,   10
  611,  256, 65:02,  -98, -109,   10
  612, 3098, xx:xx, -120, -109,   10
  613, 3102, xx:xx, -120, -120,   10
  614, 1972, 65:02,  -93, -106,   10
  615, 2383, 65:02, -101,  -97,   10
  616, 1918, 65:02, -100, -100,   10
  617, 2399, 65:02,  -94,  -97,   10
  618,  481, 65:02,  -93,  -93,   10
  619,  494, 65:02,  -95,  -94,   10
  620,  949, 65:02, -100,  -97,   10
  621, 1441, 65:02,  -96,  -98,   10
  622, 1442, 65:02,  -90,  -93,   10
  623,  483, 65:02,  -94,  -92,   10
  624, 2393, 65:02,  -92,  -93,   10
  625,  487, 65:02,  -91,  -91,   10
  626,  478, 65:02,  -89,  -90,   10
  627,  954, 65:02,  -99,  -94,   10
  628,  968, 65:02,  -93,  -96,   10
  629,  486, 65:02,  -93,  -93,   10
  630,  476, 65:02,  -97,  -95,   10
