   id, time,  addr, rssi,  ave, lane
  539, 2092, xx:xx, -120, -120,    0
  540, 2113, xx:xx, -120, -120,    0
  541, 2090, xx:xx, -120, -120,    0
  542, 2090, xx:xx, -120, -120,    0
  543, 2121, xx:xx, -120, -120,    0
  544, 2142, xx:xx, -120, -120,    0
  545, 2095, xx:xx, -120, -120,    0
  546, 2091, xx:xx, -120, -120,    0
  547, 2093, xx:xx, -120, -120,    0
  548, 2118, xx:xx, -120, -120,    0
  549, 2094, xx:xx, -120, -120,    0
  550, 2098, xx:xx, -120, -120,    0
  551, 2091, xx:xx, -120, -120,    0
  552, 2117, xx:xx, -120, -120,    0
  553, 2097, xx:xx, -120, -120,    0
  554, 2109, xx:xx, -120, -120,    0
  555, 2104, xx:xx, -120, -120,    0
  556, 2116, xx:xx, -120, -120,    0
  557, 2092, xx:xx, -120, -120,    0
  558, 2099, xx:xx, -120, -120,    0
  559, 2163, xx:xx, -120, -120,    0
  560, 2106, xx:xx, -120, -120,    0
  561, 2123, xx:xx, -120, -120,    0
  562, 2094, xx:xx, -120, -120,    0
  563, 2097, xx:xx, -120, -120,    0
  564, 2095, xx:xx, -120, -120,    0
  565, 2097, xx:xx, -120, -120,    0
  566, 2097, xx:xx, -120, -120,    0
  567, 2101, xx:xx, -120, -120,    0
  568, 2095, xx:xx, -120, -120,    0
  569, 2099, xx:xx, -120, -120,    0
  570, 2148, xx:xx, -120, -120,    0
  571, 2123, xx:xx, -120, -120,    0
  572, 2097, xx:xx, -120, -120,    0
  573, 2119, xx:xx, -120, -120,    0
  574, 2150, xx:xx, -120, -120,    0
  575, 2109, xx:xx, -120, -120,    0
  576, 2129, xx:xx, -120, -120,    0
  577, 2113, xx:xx, -120, -120,    0
  578, 2098, xx:xx, -120, -120,    0
  579, 2099, xx:xx, -120, -120,    0
  580, 2100, xx:xx, -120, -120,    0
  581, 2100, xx:xx, -120, -120,    0
  582, 2103, xx:xx, -120, -120,    0
  583, 2099, xx:xx, -120, -120,    0
  584, 2097, xx:xx, -120, -120,    0
  585, 2122, xx:xx, -120, -120,    0
  586, 2102, xx:xx, -120, -120,    0
  587, 2103, xx:xx, -120, -120,    0
  588, 2118, xx:xx, -120, -120,    0
  589, 2149, xx:xx, -120, -120,    0
  590, 2101, xx:xx, -120, -120,    0
  591, 2102, xx:xx, -120, -120,    0
  592, 2130, xx:xx, -120, -120,    0
  593, 2113, xx:xx, -120, -120,    0
  594, 2125, xx:xx, -120, -120,    0
  595, 2101, xx:xx, -120, -120,    0
  596, 2105, xx:xx, -120, -120,    0
  597, 2129, xx:xx, -120, -120,    0
  598, 2103, xx:xx, -120, -120,    0
  599, 2105, xx:xx, -120, -120,    0
  600, 2102, xx:xx, -120, -120,    0
  601, 1364, 65:02,  -70,  -95,    0
  602,  521, 65:02,  -71,  -70,    0
  603,  444, 65:02,  -70,  -70,    0
  604,  482, 65:02,  -69,  -69,    0
  605,  474, 65:02,  -66,  -67,    0
  606,  483, 65:02,  -65,  -65,    0
  607,  993, 65:02,  -68,  -66,    0
  608,  447, 65:02,  -65,  -66,    0
  609,  481, 65:02,  -64,  -64,    0
  610,  475, 65:02,  -63,  -63,    0
  611,  964, 65:02,  -62,  -62,    0
  612,  506, 65:02,  -61,  -61,    0
  613,  448, 65:02,  -59,  -60,    0
  614,  480, 65:02,  -61,  -60,    0
  615,  986, 65:02,  -72,  -66,    0
  616,  458, 65:02,  -71,  -71,    0
  617,  481, 65:02,  -71,  -71,    0
  618,  959, 65:02,  -72,  -71,    0
  619,  478, 65:02,  -71,  -71,    0
  620,  479, 65:02,  -69,  -70,    0
  621,  478, 65:02,  -71,  -70,    0
  622,  979, 65:02,  -71,  -71,    0
  623,  464, 65:02,  -70,  -70,    0
  624,  521, 65:02,  -71,  -70,    0
  625,  445, 65:02,  -68,  -69,    0
  626,  473, 65:02,  -70,  -69,    0
  627,  509, 65:02,  -71,  -70,    0
  628,  449, 65:02,  -70,  -70,    0
  629,  966, 65:02,  -71,  -70,    0
  630,  961, 65:02,  -70,  -70,    0
